Timestamps,Volts
155795,171
155797,164
155799,156
155801,149
155803,142
155806,135
155808,128
155810,121
155812,115
155815,108
155817,102
155819,96
155821,90
155823,84
155826,79
155828,73
155830,68
155832,63
155835,58
155837,54
155839,49
155841,45
155844,41
155846,37
155848,33
155850,29
155852,26
155855,23
155857,20
155859,17
155861,15
155864,12
155866,10
155868,8
155870,6
155872,5
155875,3
155877,2
155879,1
155881,1
155884,0
155886,0
155889,0
155891,0
155894,0
155896,0
155898,1
155900,2
155903,3
155905,4
155907,6
155909,7
155911,9
155914,11
155916,14
155918,16
155920,19
155922,22
155925,25
155927,28
155929,32
155931,35
155933,39
155936,43
155938,48
155940,52
155942,57
155944,61
155947,66
155949,71
155951,77
155953,82
155956,88
155958,94
155960,100
155962,106
155964,112
155967,119
155969,126
155971,132
155973,139
155975,146
155978,154
155980,161
155982,169
155984,176
155986,184
155989,192
155991,200
155993,208
155995,217
155998,225
156000,234
156002,242
156004,251
156006,260
156009,269
156011,278
156013,287
156015,296
156017,306
156020,315
156022,325
156024,334
156026,344
156029,353
156031,363
156033,373
156035,383
156037,393
156040,403
156042,413
156044,423
156046,433
156049,443
156051,453
156053,464
156055,474
156057,484
156060,494
156062,504
156065,515
156067,525
156070,535
156072,545
156074,556
156076,566
156078,576
156081,586
156083,596
156085,606
156087,616
156089,626
156092,636
156094,646
156096,656
156098,666
156100,676
156103,685
156105,695
156107,704
156109,714
156111,723
156114,732
156116,742
156118,751
156120,760
156122,769
156125,777
156127,786
156129,795
156131,803
156133,811
156136,820
156138,828
156140,836
156142,844
156144,851
156147,859
156149,866
156151,874
156153,881
156156,888
156158,895
156160,901
156162,908
156164,914
156167,920
156169,927
156171,932
156173,938
156176,944
156178,949
156180,954
156182,959
156184,964
156187,969
156189,973
156191,978
156193,982
